Djoests Escape;Help Djoest escape the creepy murdery house, where we was invited as a DJ!;0;6_8_10,,,,,,,,,
W1:WALL_2-E,W1:WALL_1-S,W1:WALL_1-S,W1:WALL_1-S,W1:WALL_1-S,W1:WALL_1-S,W1:WALL_1-S,W1:WALL_1-S,W1:WALL_1-S,W1:WALL_2-S
W1:WALL_1-E,W1:EMPTY,W1:EMPTY,W1:EMPTY,W1:EMPTY,W1:TV1-S,W1:EMPTY,W1:EMPTY,W1:EMPTY,W1:WALL_1-W
W1:WALL_1-E,W1:EMPTY,W1:EMPTY,W1:EMPTY,W1:EMPTY,W1:EMPTY,W1:EMPTY,W1:EMPTY,W1:EMPTY,W1:WALL_1-W
W1:WALL_1-E,W1:EMPTY,W1:EMPTY,W1:EMPTY,W1:LAMP1-S,W1:SOFA1-S,W1:EMPTY,W1:EMPTY,W1:EMPTY,W1:WALL_1-W
W1:WALL_1-E,W1:SHELF1-E,W1:EMPTY,W1:EMPTY,W1:EMPTY,W1:EMPTY,W1:EMPTY,W1:EMPTY,W1:EMPTY,W1:WALL_1-W
W1:WALL_1-E,W1:SHELF1-E,W1:EMPTY,W1:EMPTY,W1:PROP_LAMP1-N-F,W1:EMPTY,W1:EMPTY,W1:EMPTY,W1:EMPTY,W1:WALL_1-W
W1:WALL_1-E,W1:SHELF1-E,W1:EMPTY,W1:EMPTY,W1:EMPTY,W1:EMPTY,W1:CHAIR1-E,W1:TABLE2-E,W1:CHAIR1-W,W1:WALL_1-W
W1:WALL_1-E,W1:EMPTY,W1:EMPTY,W1:EMPTY,W1:EMPTY,W1:EMPTY,W1:EMPTY,W1:EMPTY,W1:EMPTY,W1:WALL_1-W
W1:WALL_1-E,W1:PLAYER_2-E,W1:EMPTY,W1:EMPTY,W1:EMPTY,W1:EMPTY,W1:EMPTY,W1:EMPTY,W1:EMPTY,W1:WALL_1-W
W1:WALL_1-E,W1:EMPTY,W1:EMPTY,W1:EMPTY,W1:EMPTY,W1:EMPTY,W1:EMPTY,W1:EMPTY,W1:EMPTY,W1:WALL_1-W
W1:WALL_1-E,W1:EMPTY,W1:EMPTY,W1:EMPTY,W1:EMPTY,W1:EMPTY,W1:EMPTY,W1:EMPTY,W1:GOAL_1,W1:WALL_1-W
W1:WALL_1-E,W1:EMPTY,W1:EMPTY,W1:EMPTY,W1:EMPTY,W1:EMPTY,W1:EMPTY,W1:EMPTY,W1:EMPTY,W1:WALL_1-W
W1:WALL_2-N,W1:WALL_1-N,W1:WALL_1-N,W1:WALL_1-N,W1:WALL_1-N,W1:WALL_1-N,W1:WALL_1-N,W1:WALL_1-N,W1:WALL_1-N,W1:WALL_2-W
